State,2017
Alabama,4874747.00
Alaska,739795.00
Arizona,7016270.00
Arkansas,3004279.00
California,39536653.00
Colorado,5607154.00
Connecticut,3588184.00
Delaware,961939.00
District of Columbia,693972.00
Florida,20984400.00
Georgia,10429379.00
Hawaii,1427538.00
Idaho,1716943.00
Illinois,12802023.00
Indiana,6666818.00
Iowa,3145711.00
Kansas,2913123.00
Kentucky,4454189.00
Louisiana,4684333.00
Maine,1335907.00
Maryland,6052177.00
Massachusetts,6859819.00
Michigan,9962311.00
Minnesota,5576606.00
Mississippi,2984100.00
Missouri,6113532.00
Montana,1050493.00
Nebraska,1920076.00
Nevada,2998039.00
New Hampshire,1342795.00
New Jersey,9005644.00
New Mexico,2088070.00
New York,19849399.00
North Carolina,10273419.00
North Dakota,755393.00
Ohio,11658609.00
Oklahoma,3930864.00
Oregon,4142776.00
Pennsylvania,12805537.00
Rhode Island,1059639.00
South Carolina,5024369.00
South Dakota,869666.00
Tennessee,6715984.00
Texas,28304596.00
Utah,3101833.00
Vermont,623657.00
Virginia,8470020.00
Washington,7405743.00
West Virginia,1815857.00
Wisconsin,5795483.00
Wyoming,579315.00
